name,address,place_id,rating,reviews,price_level,website,arrondissement,street_name
le petit bouillon pharamond,"24 rue de la grande truanderie, 75001 paris, france",ChIJRcSln6lv5kcRlLWcSVj4QGE,4.2,5331,2.0,http://www.petitbouillonpharamond.com/,1,rue de la grande truanderie
brasserie de la bourse,"27 rue jean-jacques rousseau, 75001 paris, france",ChIJLTXauyNu5kcRfE2jvCNL1Is,4.4,676,2.0,http://www.brasseriedelabourseparis.com/,1,rue jean-jacques rousseau
brasserie flottes,"2 rue cambon, 75001 paris, france",ChIJDeI4Jx9v5kcRItEpEe0E6jo,4.5,1454,2.0,http://brasserieflottes.fr/fr,1,rue cambon
brasserie du louvre - bocuse,"place andré malraux, paris, île-de-france, france, 75001, 75001 paris, france",ChIJUZFuuSVu5kcRfY5Fd2TUlRQ,4.1,656,3.0,https://www.hyattrestaurants.com/en/dining/france/paris/french-restaurant-in-avenue-de-l-opera-brasserie-du-louvre,1,andré malraux
brasserie l'émil,"55 rue saint-roch, 75001 paris, france",ChIJ_xOkpDpv5kcRk_YSe4UrbkI,4.3,142,,https://www.chateauvoltaire.com/restaurant,1,rue saint-roch
au pied de cochon,"6 rue coquillière, 75001 paris, france",ChIJQQtKZyJu5kcRhXhHvOUt3To,4.3,15586,3.0,https://www.pieddecochon.com//?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,1,rue coquillière
french beer brasserie,"le carroussel du louvre, 99 rue de rivoli, 75001 paris, france",ChIJRcLNn2pv5kcRN2u1lYNevik,4.6,292,,https://foodcourtrivoli.fr/fr/restaurant-french-beer-brasserie/,1,carroussel du louvre
le café plume,"164 rue saint-honoré, 75001 paris, france",ChIJuU7q9iNu5kcRCujrCnNpmTU,4.2,1627,2.0,http://www.cafeplume-paris.fr/,1,rue saint-honoré
café joséphine,"3 pl. des deux ecus, 75001 paris, france",ChIJdd2yjVhv5kcR40Ab9Db4mBI,4.3,880,,http://www.cafe-josephineparis.fr/,1,pl. des deux ecus
le reynou,"2 quai de la mégisserie, 75001 paris, france",ChIJDTlxlR9u5kcRc_oRpz4I1-I,4.5,217,1.0,https://www.facebook.com/Le-Reynou-1560153544244921/,1,quai de la mégisserie
loup,"44, rue du louvre angle, rue coquillière, 75001 paris, france",ChIJI5p2_CJu5kcRgjL-oQSVlnE,4.2,1868,2.0,http://loup-paris.com/,1,
bistrot victoires,"6 rue de la vrillière, 75001 paris, france",ChIJpds8WyNu5kcR2FQvBHJLGZs,4.4,5581,1.0,http://www.paris-bistro.com/choisir/paris1/bistrot-des-victoires,1,rue de la vrillière
le baltard,"9 rue coquillière, 75001 paris, france",ChIJKSjlUyJu5kcR0vuxtfcCnwY,4.1,1084,2.0,https://lebaltard.com/,1,rue coquillière
chouchou,"23 bd de sébastopol, 75001 paris, france",ChIJHwzjqZJv5kcRCir2RjPAaKE,4.6,8270,2.0,http://www.restaurantchouchouparis.fr/,1,bd de sébastopol
au vieux comptoir,"17 rue des lavandières sainte-opportune, 75001 paris, france",ChIJgVHLCh9u5kcRTdrNgGB0JoI,4.6,853,3.0,https://www.au-vieux-comptoir.com/,1,rue des lavandières sainte-opportune
bistrot valois,"1 pl. de valois, 75001 paris, france",ChIJU8FNZiRu5kcRIEum9ZJ7ymA,3.9,595,2.0,https://bistrot-valois-paris.com/fr,1,pl. de valois
café de la régence,"167 rue saint-honoré, 75001 paris, france",ChIJtRRWgyVu5kcRtlep_4vBrdo,4.3,3238,2.0,https://menuonline.fr/cafedelaregencebis/coordonnees,1,rue saint-honoré
au chien qui fume‎‎,"33 rue du pont neuf, 75001 paris, france",ChIJ9UCeqhhu5kcRqy9I3duxap0,4.0,2500,2.0,https://www.auchienquifume.com/,1,rue du pont neuf
bistro les artizans,"30 rue montorgueil, 75001 paris, france",ChIJ_5qDXxhu5kcRiJhbIQOAZr4,4.4,1259,2.0,http://www.lesartizans.fr/,1,rue montorgueil
