name,address,place_id,rating,reviews,price_level,website,arrondissement
Le Petit Bouillon Pharamond,"24 Rue de la Grande Truanderie, 75001 Paris, France",ChIJRcSln6lv5kcRlLWcSVj4QGE,4.2,5331,2,http://www.petitbouillonpharamond.com/,01
Brasserie de la Bourse,"27 Rue Jean-Jacques Rousseau, 75001 Paris, France",ChIJLTXauyNu5kcRfE2jvCNL1Is,4.4,676,2,http://www.brasseriedelabourseparis.com/,01
Brasserie Flottes,"2 Rue Cambon, 75001 Paris, France",ChIJDeI4Jx9v5kcRItEpEe0E6jo,4.5,1454,2,http://brasserieflottes.fr/fr,01
Brasserie du Louvre - Bocuse,"Place André Malraux, Paris, Île-de-France, France, 75001, 75001 Paris, France",ChIJUZFuuSVu5kcRfY5Fd2TUlRQ,4.1,656,3,https://www.hyattrestaurants.com/en/dining/france/paris/french-restaurant-in-avenue-de-l-opera-brasserie-du-louvre,01
Brasserie l'Émil,"55 Rue Saint-Roch, 75001 Paris, France",ChIJ_xOkpDpv5kcRk_YSe4UrbkI,4.3,142,N/A,https://www.chateauvoltaire.com/restaurant,01
LE CHOUBICHOU PARIS CHÂTELET,"5 Rue Mondétour, 75001 Paris, France",ChIJF50yHBlu5kcRgd3blpdh-WM,4.3,1119,3,https://www.privateaser.com/lieu/49884-choubichou,01
Au Pied de Cochon,"6 Rue Coquillière, 75001 Paris, France",ChIJQQtKZyJu5kcRhXhHvOUt3To,4.3,15586,3,https://www.pieddecochon.com//?utm_source=Google&utm_medium=GMB&utm_campaign=PDC&y_source=1_MTE2NjUxNzQtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,01
French Beer Brasserie,"Le Carroussel du Louvre, 99 Rue de Rivoli, 75001 Paris, France",ChIJRcLNn2pv5kcRN2u1lYNevik,4.6,292,N/A,https://foodcourtrivoli.fr/fr/restaurant-french-beer-brasserie/,01
Le Café Plume,"164 Rue Saint-Honoré, 75001 Paris, France",ChIJuU7q9iNu5kcRCujrCnNpmTU,4.2,1627,2,http://www.cafeplume-paris.fr/,01
Café Joséphine,"3 Pl. des Deux Ecus, 75001 Paris, France",ChIJdd2yjVhv5kcR40Ab9Db4mBI,4.3,880,N/A,http://www.cafe-josephineparis.fr/,01
Le Reynou,"2 Quai de la Mégisserie, 75001 Paris, France",ChIJDTlxlR9u5kcRc_oRpz4I1-I,4.5,217,1,https://www.facebook.com/Le-Reynou-1560153544244921/,01
Loup,"44, rue du Louvre Angle, Rue Coquillière, 75001 Paris, France",ChIJI5p2_CJu5kcRgjL-oQSVlnE,4.2,1868,2,http://loup-paris.com/,01
Bistrot Victoires,"6 Rue de la Vrillière, 75001 Paris, France",ChIJpds8WyNu5kcR2FQvBHJLGZs,4.4,5581,1,http://www.paris-bistro.com/choisir/paris1/bistrot-des-victoires,01
Le Baltard,"9 Rue Coquillière, 75001 Paris, France",ChIJKSjlUyJu5kcR0vuxtfcCnwY,4.1,1084,2,https://lebaltard.com/,01
Chouchou,"23 Bd de Sébastopol, 75001 Paris, France",ChIJHwzjqZJv5kcRCir2RjPAaKE,4.6,8270,2,http://www.restaurantchouchouparis.fr/,01
Au Vieux Comptoir,"17 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",ChIJgVHLCh9u5kcRTdrNgGB0JoI,4.6,853,3,https://www.au-vieux-comptoir.com/,01
Bistrot Valois,"1 Pl. de Valois, 75001 Paris, France",ChIJU8FNZiRu5kcRIEum9ZJ7ymA,3.9,595,2,https://bistrot-valois-paris.com/fr,01
Café de la Régence,"167 Rue Saint-Honoré, 75001 Paris, France",ChIJtRRWgyVu5kcRtlep_4vBrdo,4.3,3238,2,https://menuonline.fr/cafedelaregencebis/coordonnees,01
Au Chien Qui Fume‎‎,"33 Rue du Pont Neuf, 75001 Paris, France",ChIJ9UCeqhhu5kcRqy9I3duxap0,4,2500,2,https://www.auchienquifume.com/,01
Bistro les Artizans,"30 Rue Montorgueil, 75001 Paris, France",ChIJ_5qDXxhu5kcRiJhbIQOAZr4,4.4,1259,2,http://www.lesartizans.fr/,01
La Rotonde St Honoré,"10 Rue des Pyramides, 75001 Paris, France",ChIJDTYHkS9u5kcRpwI5ndM1rM8,4.1,1513,2,http://www.larotondesthonore.com/,01
Le Zimmer,"1 Pl. du Châtelet, 75001 Paris, France",ChIJI5HJsx9u5kcRJl41efCbOAw,4.1,1599,3,http://www.lezimmer.com/,01
Le Nelson's - Louvre,"16 Rue Coquillière, 75001 Paris, France",ChIJl806WCJu5kcRj9u3cONSIhc,4.2,3553,2,https://nelsons.fr/,01
Le Nemours,"2 à 7 Galerie de Nemours, 2 Place Colette, 75001 Paris, France",ChIJvYAMtCVu5kcRmAVmbFzjizg,4,1957,2,http://www.lenemours.paris/,01
Le Fumoir,"6 Rue de l'Amiral de Coligny, 75001 Paris, France",ChIJw8kRaSFu5kcRFhLvX5DjiWY,4.4,3999,2,http://www.lefumoir.com/,01
Le Zinc d'Honoré,"36 Pl. du Marché Saint-Honoré, 75001 Paris, France",ChIJV5rNPDBu5kcRneM-vQuZnxI,4.2,1339,2,N/A,01
Au Vieux Châtelet,"1 Pl. du Châtelet, 75001 Paris, France",ChIJI5HJsx9u5kcRiyZiycswBgA,3.8,1143,2,N/A,01
Le Royal,"250 Rue Saint-Honoré, 75001 Paris, France",ChIJM7ZmmyVu5kcRufBOsBQN_34,3.9,1584,2,N/A,01
LE PASSAGE SAINT HONORÉ,"33 Pl. du Marché Saint-Honoré, 75001 Paris, France",ChIJOe9rw7hv5kcR09_vDpvFrek,4.2,1465,2,https://lepassagesainthonore.fr/fr,01
La Fresque,"100 Rue Rambuteau, 75001 Paris, France",ChIJS9BDHxlu5kcRV8z7tYkG2PQ,4.4,1723,2,http://lafresqueparis.com/,01
Carpe Diem Café - Paris,"21 Rue des Halles, 75001 Paris, France",ChIJK5lZTx9u5kcRmu-l8JsycNg,4.4,1100,2,https://carpediem-cafe-paris.fr/,01
Le Relais du Louvre,"3 Rue du Louvre, 75001 Paris, France",ChIJlyYq1yNu5kcRS6_g26rTKGQ,4.6,984,2,https://lerelaisdulouvre.com/,01
La Robe et Le Palais,"13 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",ChIJa1dSnh9u5kcRg_jbgJoRQBU,4.5,951,2,https://www.robeetlepalais.fr/,01
CAFE SAINT HONORÉ,"194 Rue Saint-Honoré, 75001 Paris, France",ChIJWe6kaiRu5kcRH_SM6yU7UYo,4.4,1862,2,https://cafe-saint-ho.fr/,01
L'Imprimerie,"29 Rue Coquillière, 75001 Paris, France",ChIJReCEBiNu5kcRJIqTLjLS01Y,3.9,341,2,http://cafelimprimerie.fr/,01
Au Bistro,"8 Rue du Marché Saint-Honoré, 75001 Paris, France",ChIJIfLv0i9u5kcR_Mw1tnH7mJs,4.4,237,2,http://www.aubistroparis.fr/,01
Brasserie Maison Rouge,"12 Rue de la Ferronnerie, 75001 Paris, France",ChIJM_sjOx9u5kcRsopdBvqxIWM,4.1,1703,2,https://www.brasserie-maisonrouge.fr/,01
Le Willi's Wine Bar,"13 Rue des Petits Champs, 75001 Paris, France",ChIJ9547tSRu5kcR60feMqgFLEk,4.3,588,2,http://www.williswinebar.com/,01
Au Terminus du Châtelet,"5 Rue des Lavandières Sainte-Opportune, 75001 Paris, France",ChIJvRsMmR9u5kcRybtiNZG2S7o,4.6,908,2,https://www.auterminusduchatelet.com/,01
Bistrot du Jardin,"33 Rue Berger, 75001 Paris, France",ChIJMS35GiJu5kcRNFJH5Orj-3A,4.1,782,2,https://bistrot-du-jardin.fr/,01
Brasserie Dubillot,"222 Rue St Denis, 75002 Paris, France",ChIJBy2KU1Fv5kcRPeBADiR3WzM,4.6,6637,2,https://nouvellegardegroupe.com/,02
Vaudeville,"29 Rue Vivienne, 75002 Paris, France",ChIJ0aVfcDBu5kcR2WJYeZ56XxI,4.4,3445,2,https://www.vaudevilleparis.com//?utm_source=Google&utm_medium=GMB&utm_campaign=VAU&y_source=1_MTE2NjUxODktNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,02
Le Grand Colbert,"2 Rue Vivienne, 75002 Paris, France",ChIJpbKdWjtu5kcRQDSu42z_j_A,4.2,2755,3,http://www.legrandcolbert.fr/,02
Brasserie Rosie Lou,"31 Bd de Bonne Nouvelle, 75002 Paris, France",ChIJE0OZV5Bv5kcRO85oMBPnrt8,4.7,2134,2,http://brasseriesalamode.com/,02
L’Empire,"108 Rue Réaumur, 75002 Paris, France",ChIJg-LMvxdu5kcR9r_8nQPVWdk,4.5,576,N/A,https://www.lempirebrasserie.com/,02
Comme un Bouillon,"17 Rue de Choiseul, 75002 Paris, France",ChIJq0eNOGtv5kcRsZyscimIuoI,4.5,1128,1,http://www.commeunbouillon.com/,02
